main_category,subcategory,sub_subcategory,author_name,date,volume,page
imitations,imitationGenera,,Ascham,1563-8,I,97-98
imitations,imitationGenera,,Jonson,[1620-35?],I,193-194
imitations,particularImitators,skeat,Skeat,1900,III,151
imitations,particularImitators,skeat,Skeat,1900,III,152
imitations,particularImitators,taylor,Taylor,1831,II,184
imitations,particularImitators,gay,Gay,1717,I,345
imitations,particularImitators,greene,Greene,1782,I,466
imitations,particularImitators,spenser,Spenser,1579,I,118
imitations,particularImitators,spenser,Spenser,1590-96,I,132-133
imitations,particularImitators,spenser,Cobb,[a. 1700],I,271
imitations,particularImitators,spenser,Jonson,[1620-35?],I,193-194
imitations,particularImitators,gough,Gough,1764,I,425
imitations,particularImitators,chatterton,Chatterton,[a. 1770],I,432-435
imitations,particularImitators,chatterton,[Mathias,1782,I,466-467
imitations,particularImitators,chatterton,[Maty,1782,I,468
imitations,particularImitators,chatterton,Tyrwhitt,1782,I,469
imitations,particularImitators,chatterton,Unknown,1782,I,472
imitations,particularImitators,mennis,Mennis,1655,I,231
imitations,particularImitators,harris,Harris,[a. 1758],I,412
imitations,particularImitators,bullein,Bullein,1564,I,99
imitations,particularImitators,N,N.,1789,I,487-488
imitations,particularImitators,fielding,Fielding,1752,IV,90-91
imitations,particularImitators,ker,Ker,1891,III,140
imitations,particularImitators,brome,Brome,1641,I,219
imitations,particularImitators,starkey,Starkey,1859,III,51
imitations,particularImitators,fenton,Fenton,1717,I,345
imitations,particularImitators,pope,Pope,1727,I,369
imitations,particularImitators,thurlow,Thurlow,1823,II,148
imitations,particularImitators,fagan,Fagan,1883,III,134-135
imitations,particularImitators,hunt,Hunt,1858,III,43
imitations,particularImitators,mason,Mason,1747,I,393-394
imitations,particularImitators,brooke,Brooke,1562,IV,29-33
imitations,particularImitators,james,James,1635,I,212-3
imitations,particularImitators,james,James,1638,I,218-9
imitations,particularImitators,prior,Prior,1712,I,323-324
imitations,particularImitators,prior,Armstrong,1753,IV,91
imitations,particularImitators,prior,Prior,[1718?],I,347
imitations,particularImitators,anonymous,Unknown,[1597],I,144
imitations,particularImitators,anonymous,Unknown,1746,IV,89
imitations,particularImitators,anonymous,Unknown,1772,I,437
imitations,particularImitators,anonymous,Unknown,1791,IV,99
imitations,particularImitators,anonymous,Unknown,1796,I,499
imitations,particularImitators,arbuthnot,Arbuthnot,1735,IV,86-87
imitations,particularImitators,mathias,Mathias,1782,I,466-467
imitations,particularImitators,baynes,Baynes,1782,I,465
imitations,particularImitators,keats,Keats,1819,IV,104
imitations,particularImitators,swift,Scott,1814,II,65
imitations,particularImitators,swift,Swift,[a. 1740],IV,88
imitations,particularImitators,thompson,Thompson,[c. 1745],I,392-393
imitations,particularImitators,warton,Warton,1747,I,394
imitations,particularImitators,warton,Warton,1787,IV,89
imitations,particularImitators,wharton,Wharton,1804-5,II,22
imitations,particularImitators,drayton,Drayton,1593,I,139
imitations,particularImitators,frere,Frere,[c. 1787],II,21
imitations,particularImitators,frere,Frere,[c. 1787],IV,109
